time,open,high,low,close,volume
2015-08-03 00:00:00+00:00,1.30868,1.31322,1.3079,1.31167,8901
2015-08-03 04:00:00+00:00,1.31166,1.31278,1.31098,1.31166,11365
2015-08-03 08:00:00+00:00,1.31165,1.31758,1.3113,1.31542,28223
2015-08-03 12:00:00+00:00,1.31541,1.31731,1.31325,1.31534,41705
2015-08-03 16:00:00+00:00,1.31531,1.31612,1.31131,1.31512,43230
2015-08-03 20:00:00+00:00,1.31512,1.31652,1.31362,1.31546,15526
2015-08-04 00:00:00+00:00,1.31549,1.3176,1.3146,1.31722,16209
2015-08-04 04:00:00+00:00,1.31722,1.31758,1.31593,1.31598,13213
2015-08-04 08:00:00+00:00,1.31598,1.31621,1.31051,1.31153,30341
2015-08-04 12:00:00+00:00,1.31154,1.31451,1.31154,1.31263,36537
2015-08-04 16:00:00+00:00,1.31263,1.31481,1.31085,1.31274,43486
2015-08-04 20:00:00+00:00,1.31272,1.32015,1.31262,1.31872,30428
2015-08-05 00:00:00+00:00,1.31885,1.31958,1.31839,1.31926,14701
2015-08-05 04:00:00+00:00,1.31926,1.32131,1.31866,1.31959,14451
2015-08-05 08:00:00+00:00,1.31958,1.32077,1.31828,1.3184,29325
2015-08-05 12:00:00+00:00,1.3184,1.32026,1.31098,1.31301,39271
2015-08-05 16:00:00+00:00,1.31301,1.31946,1.31267,1.3186,43995
2015-08-05 20:00:00+00:00,1.31859,1.31918,1.31739,1.31742,25045
2015-08-06 00:00:00+00:00,1.31739,1.31788,1.316,1.31609,13480
2015-08-06 04:00:00+00:00,1.31608,1.31714,1.3156,1.31636,15367
2015-08-06 08:00:00+00:00,1.31636,1.318,1.31528,1.31751,25774
2015-08-06 12:00:00+00:00,1.31756,1.31967,1.31574,1.31766,39541
2015-08-06 16:00:00+00:00,1.31766,1.31803,1.31282,1.31306,39213
2015-08-06 20:00:00+00:00,1.31306,1.31404,1.30935,1.31059,22452
2015-08-07 00:00:00+00:00,1.31072,1.31183,1.3103,1.31183,10471
2015-08-07 04:00:00+00:00,1.31183,1.3122,1.31122,1.31203,13386
2015-08-07 08:00:00+00:00,1.31202,1.31245,1.31037,1.31176,18967
2015-08-07 12:00:00+00:00,1.31176,1.31832,1.30479,1.31829,30699
2015-08-07 16:00:00+00:00,1.31831,1.31833,1.30481,1.31369,34560
2015-08-07 20:00:00+00:00,1.31374,1.31404,1.31121,1.3134,16430
2015-08-10 00:00:00+00:00,1.31164,1.31534,1.31164,1.31532,6491
2015-08-10 04:00:00+00:00,1.31532,1.31547,1.31377,1.31408,10465
2015-08-10 08:00:00+00:00,1.31406,1.31718,1.31354,1.31625,12528
2015-08-10 12:00:00+00:00,1.31625,1.31819,1.31189,1.31386,19952
2015-08-10 16:00:00+00:00,1.31386,1.31517,1.30063,1.30149,29224
2015-08-10 20:00:00+00:00,1.30148,1.30335,1.29906,1.29981,15862
2015-08-11 00:00:00+00:00,1.29994,1.30128,1.29946,1.30032,8761
2015-08-11 04:00:00+00:00,1.30032,1.31015,1.30032,1.30748,18897
2015-08-11 08:00:00+00:00,1.30748,1.30833,1.29982,1.30253,21878
2015-08-11 12:00:00+00:00,1.30255,1.30923,1.30251,1.30815,25220
2015-08-11 16:00:00+00:00,1.30814,1.31495,1.30764,1.31297,29444
2015-08-11 20:00:00+00:00,1.31297,1.31402,1.31018,1.31101,14714
2015-08-12 00:00:00+00:00,1.31102,1.31153,1.30877,1.30916,11942
2015-08-12 04:00:00+00:00,1.30915,1.3157,1.30828,1.31409,16516
2015-08-12 08:00:00+00:00,1.31409,1.31416,1.30456,1.30866,25076
2015-08-12 12:00:00+00:00,1.30867,1.30937,1.29517,1.29926,27691
2015-08-12 16:00:00+00:00,1.29926,1.30237,1.29547,1.29708,30943
2015-08-12 20:00:00+00:00,1.29708,1.30046,1.29661,1.29753,14377
2015-08-13 00:00:00+00:00,1.29781,1.29979,1.29707,1.29856,11018
2015-08-13 04:00:00+00:00,1.29856,1.30102,1.29586,1.2983,15165
2015-08-13 08:00:00+00:00,1.29832,1.30031,1.29635,1.29977,20267
2015-08-13 12:00:00+00:00,1.29977,1.30636,1.29953,1.30499,24097
2015-08-13 16:00:00+00:00,1.30492,1.30902,1.30291,1.30727,27059
2015-08-13 20:00:00+00:00,1.30727,1.30829,1.30542,1.30559,15100
2015-08-14 00:00:00+00:00,1.30569,1.30703,1.30562,1.30612,13154
2015-08-14 04:00:00+00:00,1.30611,1.3077,1.30575,1.30662,15144
2015-08-14 08:00:00+00:00,1.30662,1.30835,1.30458,1.30669,17542
2015-08-14 12:00:00+00:00,1.30669,1.3083,1.30309,1.30775,21375
2015-08-14 16:00:00+00:00,1.30774,1.30864,1.30163,1.30552,30501
2015-08-14 20:00:00+00:00,1.30553,1.30971,1.30553,1.30948,13811
2015-08-17 00:00:00+00:00,1.30879,1.31095,1.30844,1.3106,10390
2015-08-17 04:00:00+00:00,1.31059,1.31154,1.30966,1.31092,15727
2015-08-17 08:00:00+00:00,1.31092,1.31441,1.31042,1.31302,23390
2015-08-17 12:00:00+00:00,1.31301,1.31517,1.31013,1.31198,27992
2015-08-17 16:00:00+00:00,1.31198,1.31354,1.3082,1.30837,32917
2015-08-17 20:00:00+00:00,1.30837,1.3095,1.30594,1.30774,19178
2015-08-18 00:00:00+00:00,1.308,1.3103,1.30786,1.30964,13174
2015-08-18 04:00:00+00:00,1.30964,1.311,1.3087,1.31043,21224
2015-08-18 08:00:00+00:00,1.31041,1.3126,1.31008,1.31184,24247
2015-08-18 12:00:00+00:00,1.31184,1.31205,1.3078,1.30925,30575
2015-08-18 16:00:00+00:00,1.30925,1.31026,1.30593,1.30686,31464
2015-08-18 20:00:00+00:00,1.30691,1.30825,1.30401,1.30526,20557
2015-08-19 00:00:00+00:00,1.30535,1.30615,1.30496,1.30516,11117
2015-08-19 04:00:00+00:00,1.30516,1.3059,1.30392,1.3054,18402
2015-08-19 08:00:00+00:00,1.3054,1.30628,1.30239,1.30411,21873
2015-08-19 12:00:00+00:00,1.30414,1.30836,1.30408,1.30787,26857
2015-08-19 16:00:00+00:00,1.30787,1.31727,1.30768,1.31671,33040
2015-08-19 20:00:00+00:00,1.31671,1.31774,1.30506,1.3123,29952
2015-08-20 00:00:00+00:00,1.31246,1.31274,1.30998,1.31043,15937
2015-08-20 04:00:00+00:00,1.31042,1.31169,1.31021,1.31073,19377
2015-08-20 08:00:00+00:00,1.31073,1.31752,1.31052,1.31718,27451
2015-08-20 12:00:00+00:00,1.31718,1.31756,1.30754,1.30941,29086
2015-08-20 16:00:00+00:00,1.30941,1.31293,1.30592,1.30945,34732
2015-08-20 20:00:00+00:00,1.30945,1.31088,1.30722,1.308,23063
2015-08-21 00:00:00+00:00,1.30806,1.30886,1.3076,1.30793,14360
2015-08-21 04:00:00+00:00,1.30793,1.31084,1.30773,1.30921,23246
2015-08-21 08:00:00+00:00,1.30919,1.31093,1.30778,1.3082,26364
2015-08-21 12:00:00+00:00,1.30819,1.31107,1.3059,1.30847,29166
2015-08-21 16:00:00+00:00,1.30847,1.31932,1.307,1.31587,41074
