"trade_id","edge_id","symbol","timeframe","strategy","result","pnl","regime","quality","mode","real_orders"
"XAUUSD_D1_EMA_CROSS_9,34_324_343","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-26.43","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_343_369","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-10.53","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_369_374","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-24.73","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_374_428","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","80.28","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_428_503","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","111.51","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_503_511","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-48.0","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_511_569","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","40.3","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_569_636","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","147.75","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_636_655","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-58.35","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_655_704","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","59.56","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_704_744","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","17.19","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_744_757","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-20.07","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_757_778","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-5.79","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_778_781","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-23.34","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_781_811","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-30.69","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_811_879","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","66.54","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_879_883","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-22.65","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_883_893","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-43.51","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_893_903","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-37.27","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_903_977","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","286.36","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_977_984","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-43.64","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_984_985","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-39.35","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_985_993","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-34.81","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_993_1088","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","218.65","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1088_1107","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-119.16","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1107_1113","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-108.5","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1113_1127","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-84.86","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1127_1270","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","607.11","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1270_1273","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-98.74","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1273_1284","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-59.72","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1284_1287","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-52.24","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_1287_1434","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","1285.61","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_161_180","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00358","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
