"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit","approved"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.0","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ATR_FILTER","atr=14;min_mult=1.5","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.0","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.5","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.0","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=21;min=20","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
