"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=21;slow=144","44","1,2915","38,64","3,0604","2,0512","24591","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=8;slow=144","65","1,2903","32,31","799","2,6419","1334","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=8;slow=144","65","1,2903","32,31","799","2,6419","1334","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=5;slow=55","132","1,2888","34,09","0,4971","2,4917","521","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=5;slow=55","132","1,2888","34,09","0,4971","2,4917","521","BACKTESTED"
"USDCHF","FOREX","M5","EMA_CROSS","TREND","fast=5;slow=144","80","1,2863","21,25","0,1294","0,4767","94","BACKTESTED"
"USDCHF","FOREX","M5","SMA_CROSS","TREND","fast=5;slow=144","80","1,2863","21,25","0,1294","0,4767","94","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=89","104","1,2839","23,08","2,5722","4,2798","36397","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=89","104","1,2839","23,08","2,5722","4,2798","36397","BACKTESTED"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","153","1,2812","39,22","0,2618","1,9859","3571","BACKTESTED"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","153","1,2812","39,22","0,2618","1,9859","3571","BACKTESTED"
"USDJPY","FOREX","M30","EMA_CROSS","TREND","fast=13;slow=34","157","1,2807","35,67","0,2872","2,3099","5719","BACKTESTED"
"USDJPY","FOREX","M30","SMA_CROSS","TREND","fast=13;slow=34","157","1,2807","35,67","0,2872","2,3099","5719","BACKTESTED"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=34","152","1,2708","38,82","0,1865","2,0031","2548","BACKTESTED"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=34","152","1,2708","38,82","0,1865","2,0031","2548","BACKTESTED"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=13;slow=55","106","1,2629","4,34","0,1287","1,6198","1211","BACKTESTED"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=13;slow=55","106","1,2629","4,34","0,1287","1,6198","1211","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=5;slow=89","122","1,2606","25,41","3,2617","3,7004","36645","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=5;slow=89","122","1,2606","25,41","3,2617","3,7004","36645","BACKTESTED"
"USDCHF","FOREX","H4","EMA_CROSS","TREND","fast=5;slow=89","118","1,2597","31,36","0,6659","2,7577","8257","BACKTESTED"
"USDCHF","FOREX","H4","SMA_CROSS","TREND","fast=5;slow=89","118","1,2597","31,36","0,6659","2,7577","8257","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=5;slow=89","126","1,2546","28,57","1,0948","3,1365","7263","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=5;slow=89","126","1,2546","28,57","1,0948","3,1365","7263","BACKTESTED"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=9;slow=55","106","1,2539","38,68","0,2035","0,1988","2653","BACKTESTED"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=9;slow=55","106","1,2539","38,68","0,2035","0,1988","2653","BACKTESTED"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=8;slow=55","118","1,2511","34,75","0,1813","2,3496","2691","BACKTESTED"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=8;slow=55","118","1,2511","34,75","0,1813","2,3496","2691","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=21;slow=34","153","1,2493","46,41","0,2173","1,4252","2103","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=21;slow=34","153","1,2493","46,41","0,2173","1,4252","2103","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=144","74","1,2472","24,32","0,2638","3,8801","27208","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=144","74","1,2472","24,32","0,2638","3,8801","27208","BACKTESTED"
