symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
XAUUSD,M5,SMA_SCALP,"9,21",516,1.0462,38.57,1.6665,135.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M5,SMA_SCALP,"8,21",558,1.0445,36.74,1.7935,558.9,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M5_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M5,EMA_SCALP,"8,21",468,1.0439,29.27,2.5222,112.07,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M5,EMA_SCALP,"5,13",752,1.0414,28.19,2.6527,773.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M5,SMA_SCALP,"13,34",336,1.0411,32.44,2.149,0.00701,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,SMA_SCALP,"5,13",856,1.0394,35.63,1.8504,2482.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M5,EMA_SCALP,"8,21",474,1.0388,27.85,2.6835,422.8,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M5_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,SMA_SCALP,"5,13",857,1.0362,34.89,1.9027,110.4,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M5,SMA_SCALP,"5,13",878,1.0322,36.45,1.7773,0.00911,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M5,EMA_SCALP,"5,13",752,1.0306,26.86,2.8009,416.1,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M5_raw.csv,PAPER_ONLY,FORBIDDEN
EURUSD,M2,SMA_SCALP,"13,34",352,1.0292,34.09,1.964,0.00255,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,EMA_SCALP,"8,21",497,1.0288,29.78,2.4259,50.63,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,EMA_SCALP,"9,21",481,1.0251,28.9,2.5222,43.49,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
NZDUSD,M2,EMA_SCALP,"13,34",289,1.0227,30.8,2.2982,0.00149,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M2,EMA_SCALP,"13,34",283,1.0191,30.04,2.3738,0.00195,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,SMA_SCALP,"9,21",542,1.0178,38.01,1.66,34.3,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
