symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
NZDUSD,M15,SMA_CROSS,"9,34",170,1.2018,38.82,1.8937,0.01856,0.01894,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
NZDUSD,M15,SMA_CROSS,"20,50",101,1.1992,43.56,1.5535,0.01764,0.01527,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M15_raw.csv
US500,H4,EMA_CROSS,"21,55",43,1.1935,30.23,2.7543,1219.0,534.44,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_H4_raw.csv
EURUSD,M15,SMA_CROSS,"9,34",164,1.1923,40.24,1.7522,0.02524,0.01965,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M15_raw.csv
USDCHF,D1,SMA_CROSS,"13,55",35,1.1917,45.71,1.3406,0.14025,0.04883,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_D1_raw.csv
US100,M15,EMA_CROSS,"9,34",162,1.189,27.16,3.1888,1928.5,1762.1,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M15_raw.csv
US500,M15,SMA_CROSS,"9,34",170,1.1879,37.06,2.0176,303.8,319.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M15_raw.csv
GER40,M15,SMA_CROSS,"13,55",110,1.1865,41.82,1.6508,1065.3,1305.1,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M15_raw.csv
NZDUSD,H1,SMA_CROSS,"9,34",165,1.1854,36.36,2.0744,0.02802,0.03396,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_H1_raw.csv
GBPUSD,M15,SMA_CROSS,"9,34",169,1.1838,35.5,2.1505,0.04486,0.02645,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M15_raw.csv
US500,M15,EMA_CROSS,"13,55",102,1.1692,28.43,2.9431,267.1,227.5,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M15_raw.csv
XAUUSD,H1,EMA_CROSS,"13,55",123,1.1691,27.64,3.0604,1111.65,595.64,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
AUDUSD,M15,EMA_CROSS,"21,55",81,1.1653,33.33,2.3305,0.01724,0.01058,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_AUDUSD_M15_raw.csv
